iter	Passed	Remaining
903	3703	393
904	3705	388
905	3707	384
906	3709	380
907	3713	376
908	3717	372
909	3720	367
910	3722	363
911	3725	359
912	3731	355
913	3733	351
914	3735	346
915	3738	342
916	3740	338
917	3747	334
918	3749	330
919	3751	326
920	3753	321
921	3755	317
922	3757	313
923	3762	309
924	3764	305
925	3766	300
926	3768	296
927	3770	292
928	3774	288
929	3776	284
930	3778	280
931	3780	275
932	3782	271
933	3786	267
934	3788	263
935	3790	259
936	3792	255
937	3794	250
938	3796	246
939	3801	242
940	3803	238
941	3805	234
942	3806	230
943	3808	225
944	3810	221
945	3812	217
946	3817	213
947	3819	209
948	3821	205
949	3823	201
950	3825	197
951	3827	192
952	3831	188
953	3833	184
954	3835	180
955	3837	176
956	3839	172
957	3841	168
958	3882	165
959	3884	161
960	3888	157
961	3890	153
962	3893	149
963	3896	145
964	3898	141
965	3900	137
966	3902	133
967	3904	129
968	3906	124
969	3911	120
970	3913	116
971	3915	112
972	3918	108
973	3920	104
974	3928	100
975	3933	96
976	3936	92
977	3938	88
978	3943	84
979	3945	80
980	3948	76
981	3951	72
982	3958	68
983	3960	64
984	3963	60
985	3966	56
986	3976	52
987	3980	48
988	3982	44
989	3988	40
990	3990	36
991	3994	32
992	3996	28
993	3999	24
994	4003	20
995	4005	16
996	4007	12
997	4011	8
998	4014	4
999	4020	0
